Ree,Network,Ksyn,CV,ST,fexp,taus
1,10,0.4,1.87695020708439,0.162405116694309,-1.5454182915687,NaN
1,10,0.5,1.856058987396,0.0984585066884692,-1.51062535639184,100.416018573575
1,11,0,1.60935016254899,0.13790244104963,-1.53321084161933,NaN
1,11,0.1,1.77188898075593,0.042648692344903,-1.52633021389957,NaN
1,11,0.2,1.92077992190628,0.0917555285154774,-1.56503313115933,54.6277934295365
1,11,0.3,1.93028858060032,0.0552453488380446,-1.59381376234226,304.129771386986
1,11,0.4,1.90109499375115,0.157549388812567,-1.54059102778952,101.066063050311
1,11,0.5,1.98436030514207,0.115545422313215,-1.53334773308962,314.249623317627
1,12,0,1.52522996537131,0.17567646102718,-1.52273118991486,NaN
1,12,0.1,1.61816888913377,0.187250536092495,-1.50698216568986,16.4629578381905
1,12,0.2,1.71189157197953,0.136130303895146,-1.51791984754414,20.1861464193645
1,12,0.3,1.6800824010512,0.122220346444883,-1.50458234817652,44.0062952152629
1,12,0.4,1.80385634841164,0.103996970541005,-1.55091795680104,157.56778254639
1,12,0.5,1.81904394725039,0.104385121748636,-1.57789038315885,NaN
1,13,0,1.48572492958408,0.0933823887438859,-1.53726746616145,11.1861262954726
1,13,0.1,1.57227738196029,0.147256033132276,-1.53649995958403,41.696490439471
1,13,0.2,1.61648191562811,0.0533661593248691,-1.49318045073049,23.9273876873773
1,13,0.3,1.67021933307232,0.11247695806346,-1.55946779523482,57.5793708520167
1,13,0.4,1.71281654946802,0.0643238494789379,-1.5228464743754,39.4112537380444
1,13,0.5,1.76794798915089,0.104320929924146,-1.58985220393845,94.263246955219
1,14,0,1.57180050560459,0.149765840526653,-1.520640646294,NaN
1,14,0.1,1.74402454148308,0.125349862782939,-1.60855328779565,NaN
1,14,0.2,1.79403137393447,0.167872190510708,-1.53887165436305,NaN
1,14,0.3,1.95837544707004,0.0951994258528533,-1.56572993141961,53.7129128199572
1,14,0.4,1.8850316877423,0.0636772094795016,-1.55530481117807,18.3370612511788
1,14,0.5,1.91855927221898,0.0787711918279963,-1.56278593808876,93.1605986727314
1,15,0,1.54954997419679,0.137828095697041,-1.52589162806886,28.1633150250509
1,15,0.1,1.53287102531802,0.204926953123449,-1.543019192894,89.8079188600739
1,15,0.2,1.61902402049532,0.135107282937362,-1.58451985443086,61.201372052715
1,15,0.3,1.65519331531952,0.114317444940586,-1.56773680525155,102.699303361343
1,15,0.4,1.7178333947095,0.154908476745031,-1.55593565274112,38.7170166248486
1,15,0.5,1.72644747123881,0.0379549750654665,-1.57738835420982,168.713820858872
1,16,0,1.67006377164783,0.135298536889773,-1.50654212060883,531.992972515256
1,16,0.1,1.68767130331453,0.0957750752177224,-1.52719547902119,8.66858589731004
1,16,0.2,1.88889439941738,0.121688284521279,-1.60112141205943,367.999650695315
1,16,0.3,1.94393523788759,0.0424942316381155,-1.5737765015132,NaN
1,16,0.4,1.97883792665611,0.0400446187114527,-1.58130548562972,120.958131094005
1,16,0.5,2.01592758737543,0.0479369886764278,-1.5394111933393,12.1244063253228
1,17,0,1.49285250667778,0.175157786181541,-1.57845823163082,21.3136534221044
1,17,0.1,1.62603640092252,0.17027311524897,-1.54320012322487,NaN
1,17,0.2,1.6008585397903,0.112292064408908,-1.51162482281856,86.6362843025122
